link_url,name_link,adress,link,validated,status,document_type,document_link
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/CCBBC4CFD0384B2676F9B361582160A8/pdf/23_00715_FULSTL-APPLICATION_FORM-5755161.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/E782519C21D9BC9EADDF3CC5F4FC10B0/pdf/23_00715_FULSTL-LAND_OWNERSHIP_CERTIFICATE-5755162.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/55453A47BAEFB1EA97DED1DB6D73312C/pdf/23_00715_FULSTL-_01__LOCATION_PLAN-5752855.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/271C27147217C529BBC75BE208DEE7A9/pdf/23_00715_FULSTL-_02__FLOOR_PLAN-5753247.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/F07802E144C75DDF33D92C25DCD8964A/pdf/23_00715_FULSTL-DEFICIENCY_LETTER-5753339.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/CC690F64B04D7C6933EB617484881B41/pdf/23_00712_FULSTL--5757203.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/7B7EC5F1F6410101703EE3BF0435DBAB/pdf/23_00712_FULSTL-_02__FLOOR_PLAN-5755686.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/E84870031E7FBD3D126A4AEF10F6F0C8/pdf/23_00712_FULSTL-DEFICIENCY_LETTER-5755228.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,BackGround Papers,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/84358D416F3325CDE8FBC586C7D17456/pdf/23_00712_FULSTL-CHANGE_OF_USE_OF_RESIDENTIAL_PROPERTY_TO_SHORT-TERM_LET-5752818.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Photo,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/669DFA6B2E7FEB6372BCBD8B7AFFEB44/pdf/23_00712_FULSTL-PHOTOS_OF_THE_DWELLINGS_PRIVATE_ENTRANCE-5752819.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/EC2407CC9CC1A8E4EC2702DF65171A8F/pdf/23_00712_FULSTL-_01__LOCATION_PLAN-5752821.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/D6B22F919BF5ED4EF6A5A8EBBB1809BC/pdf/23_00712_FULSTL-APPLICATION_FORM-5753338.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQDEDQEWLGZ00&activeTab=summary,Retrospective application to change use to short term lets on studio flat.,GF1 8 Royal Circus Edinburgh EH3 6SR,23/00697/FULSTL,Mon 13 Mar 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/59EC8AC769A2B2239AD6AF97399B63F9/pdf/23_00697_FULSTL--5777850.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQDEDQEWLGZ00&activeTab=summary,Retrospective application to change use to short term lets on studio flat.,GF1 8 Royal Circus Edinburgh EH3 6SR,23/00697/FULSTL,Mon 13 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/C09916B6DE13C6816B2CD6DE2B07BE65/pdf/23_00697_FULSTL-_02__FLOOR_PLAN-5775001.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQDEDQEWLGZ00&activeTab=summary,Retrospective application to change use to short term lets on studio flat.,GF1 8 Royal Circus Edinburgh EH3 6SR,23/00697/FULSTL,Mon 13 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/BA91A71927CF8025401EF33E23E847CA/pdf/23_00697_FULSTL-APPLICATION_FORM-5751264.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQDEDQEWLGZ00&activeTab=summary,Retrospective application to change use to short term lets on studio flat.,GF1 8 Royal Circus Edinburgh EH3 6SR,23/00697/FULSTL,Mon 13 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/A88957BAEC993C6E8AE9EAFDE2058D1C/pdf/23_00697_FULSTL-_01__LOCATION_PLAN-5751877.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQDEDQEWLGZ00&activeTab=summary,Retrospective application to change use to short term lets on studio flat.,GF1 8 Royal Circus Edinburgh EH3 6SR,23/00697/FULSTL,Mon 13 Mar 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/E0D89852F8AF8FC7CEE3A65B29CE51EA/pdf/23_00697_FULSTL-DEFICIENCY_LETTER-5751882.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RRICZNEWGRP00&activeTab=summary,Change of use (retrospective) from residential to short term lets.,12 Cordiner's Land Edinburgh EH1 2LF,23/01092/FULSTL,Wed 15 Mar 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/4EDFC6307CA7E001EBAEAC70CA93427F/pdf/23_01092_FULSTL--5782177.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RRICZNEWGRP00&activeTab=summary,Change of use (retrospective) from residential to short term lets.,12 Cordiner's Land Edinburgh EH1 2LF,23/01092/FULSTL,Wed 15 Mar 2023,Awaiting Assessment,Photo,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/2E9671AB107E082DE951D9407A2FE034/23_01092_FULSTL-FRONTAGE_OF_PROPERTY-5776809.jpg
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RRICZNEWGRP00&activeTab=summary,Change of use (retrospective) from residential to short term lets.,12 Cordiner's Land Edinburgh EH1 2LF,23/01092/FULSTL,Wed 15 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/00B4677A44AE2D4F34FCD6B733847327/pdf/23_01092_FULSTL-APPLICATION_FORM-5777883.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RRICZNEWGRP00&activeTab=summary,Change of use (retrospective) from residential to short term lets.,12 Cordiner's Land Edinburgh EH1 2LF,23/01092/FULSTL,Wed 15 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/5BE7292F25171A78EA1F3969D2EAB560/pdf/23_01092_FULSTL-_02__FLOOR_PLAN-5777934.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RRICZNEWGRP00&activeTab=summary,Change of use (retrospective) from residential to short term lets.,12 Cordiner's Land Edinburgh EH1 2LF,23/01092/FULSTL,Wed 15 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/56D2C60317E3AD8BFB4D07E744C81902/pdf/23_01092_FULSTL-_01__LOCATION_PLAN-5777935.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RRICZNEWGRP00&activeTab=summary,Change of use (retrospective) from residential to short term lets.,12 Cordiner's Land Edinburgh EH1 2LF,23/01092/FULSTL,Wed 15 Mar 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/753D26DF54B2B994B3C9A67CB6FF3990/pdf/23_01092_FULSTL-DEFICIENCY_LETTER-5778294.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/38F28A726854E74F4B7AB434BA3B976D/pdf/23_01036_FULSTL--5782173.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/B9E8E01794DA94D72673A1F2A888F088/pdf/23_01036_FULSTL-DEFICIENCY_LETTER-5775044.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,BackGround Papers,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/2632010F1A195C55B6A10D6B7296397B/pdf/23_01036_FULSTL-PLANNING_DESIGN_AND_ACCESS_STATEMENT-5772157.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/77F691D3FB4DFEB08931B2035FF6848C/pdf/23_01036_FULSTL-_02__EXISTING_GROUND_FLOOR_PLAN-5772158.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/54552485D195CC5E9C130CD96C047D61/pdf/23_01036_FULSTL-_03__EXISTING_LEVEL_1_PLAN-5772159.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/7BAB083C928E38B76B4A8E08FD61661F/pdf/23_01036_FULSTL-_04__EXISTING_ELEVATION_SHEET_1-5772160.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/D3E1F54F1F9E3DE7447094E33A9A1AD4/pdf/23_01036_FULSTL-_05__EXISTING_ELEVATION_SHEET_2-5772161.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/2F520E4ED2DB92C2BCA8AE0641F1EF92/pdf/23_01036_FULSTL-_06__PROPOSED_LEVEL_1_PLAN-5772162.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/DE57B1FBEF5821C98D2C84CAD61477E7/pdf/23_01036_FULSTL-_07__PROPOSED_CROSS-SECTIONS_SHEET_1-5772163.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/CB9B7557B922B4918D4E9C5E9F20C56E/pdf/23_01036_FULSTL-_08__PROPOSED_CROSS-SECTIONS_SHEET_2-5772164.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/A45966E5F288EEFBFA96B9F9DE91A64A/pdf/23_01036_FULSTL-_01__LOCATION_PLAN-5772167.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CCDEWGD900&activeTab=summary,Conversion of existing language school to aparthotel. Removal of non-load bearing internal partitions (constructed in 1970's). New internal fit out to provide 7 No. short term let apartments.,Wallace College 12 George Iv Bridge Edinburgh EH1 1EE,23/01036/FULSTL,Tue 14 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/D3E3105980EAC03C7555986BACEAE726/pdf/23_01036_FULSTL-APPLICATION_FORM-5772236.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CBLEWGCU00&activeTab=summary,Change of use to form short term holiday let.,37 Craigmount View Edinburgh EH12 8BS,23/01031/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/BEB6D645C69962C8C9C99695AEC3EBBE/pdf/23_01031_FULSTL--5778002.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CBLEWGCU00&activeTab=summary,Change of use to form short term holiday let.,37 Craigmount View Edinburgh EH12 8BS,23/01031/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/FCDA078F8637692BCC4885D6E5AA4068/pdf/23_01031_FULSTL-_02__BLOCK_PLAN_LAYOUT-5772124.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CBLEWGCU00&activeTab=summary,Change of use to form short term holiday let.,37 Craigmount View Edinburgh EH12 8BS,23/01031/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/238386A08D3BF691CCD47B7D0973AC80/pdf/23_01031_FULSTL-_01__LOCATION_PLAN-5772125.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CBLEWGCU00&activeTab=summary,Change of use to form short term holiday let.,37 Craigmount View Edinburgh EH12 8BS,23/01031/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/E3C4212CC40E646B98816E601ED42C6B/pdf/23_01031_FULSTL-APPLICATION_FORM-5772210.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RR9CBLEWGCU00&activeTab=summary,Change of use to form short term holiday let.,37 Craigmount View Edinburgh EH12 8BS,23/01031/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/132D69D16819018A5D166DD6A6C13A4D/pdf/23_01031_FULSTL-_03__PLANS_AND_ELEVATIONS-5772127.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/A085490DFCA0B061FFC47F7213A11A7C/pdf/23_00927_FULSTL--5777861.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/B108359013AD0D0A45CC4E1F54505160/pdf/23_00927_FULSTL-DEFICIENCY_LETTER-5768202.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/A35EA869F3F013AE5B1E616216D60969/pdf/23_00927_FULSTL-_02__AS_EXISTING-5765192.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/5F16F6A3B6291121388D085E63AB31F2/pdf/23_00927_FULSTL-_03__AS_PROPOSED-5765193.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/8BDE8BA004DAA62C9F425266952DFC33/pdf/23_00927_FULSTL-_01__LOCATION_PLAN-5765195.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/0B0A2F52B4FF428297CE77FB03BF5DF2/pdf/23_00927_FULSTL-APPLICATION_FORM-5765385.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQY1GFEWFKL00&activeTab=summary,Proposed change of use from detached dwellinghouse to short-term letting (in retrospect).,11 Marshall's Court Edinburgh EH1 3AL,23/00927/FULSTL,Thu 09 Mar 2023,Awaiting Assessment,BackGround Papers,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/2B360D624A867C080FD1E4D21C4F1EF1/pdf/23_00927_FULSTL-PLANNING_STATEMENT-5765197.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQUIZCEWMYQ00&activeTab=summary,Retrospective change from residential to short-term let apartment (Sui Generis).,32A Royal Circus Edinburgh EH3 6SS,23/00880/FULSTL,Wed 01 Mar 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/FB65F7F5102AEC51C83ED55E228CC06F/pdf/23_00880_FULSTL--5777880.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQUIZCEWMYQ00&activeTab=summary,Retrospective change from residential to short-term let apartment (Sui Generis).,32A Royal Circus Edinburgh EH3 6SS,23/00880/FULSTL,Wed 01 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/C44F1D5A555ADC5927133B7B2F6686F4/pdf/23_00880_FULSTL-_01__LOCATION_PLAN_AND_FLOOR_PLAN-5762781.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQUIZCEWMYQ00&activeTab=summary,Retrospective change from residential to short-term let apartment (Sui Generis).,32A Royal Circus Edinburgh EH3 6SS,23/00880/FULSTL,Wed 01 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/5068779BC16057F1A7CEA541879F93F2/pdf/23_00880_FULSTL-APPLICATION_FORM-5762946.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQUIZCEWMYQ00&activeTab=summary,Retrospective change from residential to short-term let apartment (Sui Generis).,32A Royal Circus Edinburgh EH3 6SS,23/00880/FULSTL,Wed 01 Mar 2023,Awaiting Assessment,BackGround Papers,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/59B8262C46DA4B7D43BD64FCC40AE064/pdf/23_00880_FULSTL-SUPPORTING_PLANNING_STATEMENT-5762783.pdf
